LATITUDE,LONGITUDE
40.6760520,-73.7901840
40.6577800,-73.9510960
40.7181430,-73.9938350
40.8405340,-73.8666100
40.7454400,-73.9754000
40.7265240,-73.9463900
40.6675220,-73.7806300
40.8582100,-73.9167900
40.6664920,-73.7653600
40.8377200,-73.9276300
40.6816400,-73.9856800
40.6440470,-73.9574700
40.6984630,-73.9602050
40.7166520,-73.8259000
40.6785500,-73.8142200
40.7208900,-73.9957600
40.6815570,-73.9665450
40.8657260,-73.8873440
40.5231360,-74.2162500
40.8369940,-73.9258500
40.6166530,-73.9723400
40.7562070,-73.9913600
40.7571070,-73.9973140
40.7357980,-73.9761050
40.6258430,-73.9553700
40.7091200,-73.9685000
,
40.6542200,-73.9238600
40.7736630,-73.9023900
40.7434800,-73.9214860
40.6483760,-73.9657900
40.8396150,-73.9048900
40.7444300,-73.7650600
40.6034000,-73.9718100
40.7130700,-73.7752700
,
40.7048530,-73.7916640
,
40.7500150,-73.9913560
40.7293500,-73.9101940
40.8039600,-73.9482800
40.6498600,-74.0197200
40.6846240,-73.9383800
40.5348130,-74.1941150
,
40.8182100,-73.9614400
,
,
40.5782740,-73.9582700
40.8322300,-73.8752440
40.6765300,-73.7569300
40.6884100,-73.8479400
40.6966630,-73.9808500
,
40.7693330,-73.8417360
40.7563670,-73.9601200
40.7820550,-73.9537300
40.7245520,-73.7245200
40.5933270,-73.9646450
40.6153830,-74.0161300
40.5849300,-73.9526900
40.7407300,-73.9817660
40.8095630,-73.9292300
40.6615220,-74.0000800
40.6513630,-73.9634500
40.6666950,-73.7671360
40.6763270,-73.8654700
40.8526500,-73.8423100
40.6835480,-73.8725100
40.6723820,-73.7857400
40.7000540,-73.9245900
40.7519900,-73.9312740
40.6692730,-73.9225540
40.5704650,-74.1097700
,
40.8041340,-73.9368400
40.7491840,-73.7581940
,
40.7534750,-73.9925400
,
,
40.7026140,-73.9605800
40.6641920,-73.8775900
40.7622900,-73.7571100
40.7575340,-73.8665800
40.6409450,-73.9485200
40.7666170,-73.8649750
40.6848800,-73.9231100
40.6183400,-74.0319900
40.6139530,-73.9335300
40.7240200,-73.7635350
40.7422520,-74.0007100
40.7206340,-73.9408200
,
40.6675220,-73.7806300
,
40.8396150,-73.8844300
40.6153530,-73.8970800
40.6825370,-73.8071600
40.7676900,-73.9831000
40.7347830,-73.9987260
40.7144900,-74.0114700
40.8326500,-73.9061600
40.7268940,-73.8983150
40.7277300,-73.9067400
40.6417270,-73.9076460
40.6661200,-73.8222500
,
40.8544770,-73.8546140
40.7327100,-73.8912800
40.5164570,-74.1968840
40.5311100,-74.1572340
40.7702560,-73.9158600
40.6223700,-74.0017000
40.7191350,-73.7894900
40.8435250,-73.8966700
40.7626300,-73.7891850
40.7467880,-73.8271560
40.6818540,-73.9800400
,
40.7906900,-73.8408660
40.7642800,-73.9730200
40.6854860,-73.8266900
40.7541540,-73.9804000
40.7057650,-73.8965760
40.7375000,-73.9338500
40.6022600,-74.0030750
40.6974370,-73.9509900
40.8499900,-73.9386600
40.7408750,-73.8996200
40.7011500,-73.9401300
40.6438100,-73.9839860
40.8110730,-73.9061900
40.6558950,-74.0059100
40.8459240,-73.7860100
40.6960330,-73.9845300
40.8481180,-73.9308900
40.7019540,-73.9586940
40.8411870,-73.9321500
40.6156920,-73.9936600
,
40.6748850,-73.9277650
40.8332330,-73.8282000
40.5850260,-73.9582750
,
40.6914250,-73.8207900
40.6052860,-73.7518500
40.7259200,-73.7243900
40.7438240,-73.9795150
40.7502800,-73.9811300
40.8938000,-73.8571500
40.8325000,-73.9044000
40.8171730,-73.9460600
40.7457240,-73.9781300
40.6424830,-73.9742500
40.8439940,-73.8975200
40.6569440,-73.8808200
40.7426760,-73.8395160
40.7045440,-73.7298800
40.8641320,-73.8913200
40.5928700,-73.9960700
40.7339670,-73.8717700
40.6835800,-73.9761700
40.6633600,-73.9829940
40.6477280,-73.9763400
40.7716100,-73.9904600
40.6360400,-73.7402900
40.7027240,-73.9500200
40.9060060,-73.8504100
40.8563880,-73.9017700
40.8278540,-73.9511800
40.6566100,-73.9309100
40.6578640,-73.8922700
40.7647440,-73.9740750
40.8399700,-73.8574100
40.6829700,-73.8282400
40.6204000,-73.9604950
40.6670500,-73.7741100
40.8807800,-73.8834700
40.6096420,-73.8973800
40.6857300,-73.8056700
40.6811260,-73.9644600
40.6482240,-73.9606550
40.6976620,-73.9861500
40.6872500,-73.8719800
40.7554800,-73.7417300
40.8160800,-73.9176940
40.6209000,-74.0175800
,
40.6804540,-73.8761100
40.8142660,-73.9129640
40.7692220,-73.9222100
40.5869500,-74.1641600
40.8165500,-73.9195500
40.6771100,-73.7812900
40.7666850,-73.8921360
40.7583050,-73.8556100
40.7673300,-73.9843140
40.7838300,-73.9778300
40.8554300,-73.8438800
40.6094000,-74.0901100
40.8836330,-73.8851700
40.7508900,-73.7511300
,
40.6806400,-73.8967200
40.7215230,-73.9491300
40.5924840,-73.9949400
40.6193050,-74.1610100
,
40.6383400,-73.9318800
40.7245200,-73.9924850
40.9036830,-73.8974200
,
40.7452350,-73.9377060
40.7504800,-73.9947200
40.7606000,-73.9643400
,
40.6046640,-74.0218900
40.6867600,-73.7844900
40.8660620,-73.9225100
40.8368950,-73.8736000
40.7373350,-73.7083300
40.7953600,-73.9694200
40.6680220,-73.7371100
40.6777730,-73.9358700
40.7389530,-73.9801200
40.7652240,-73.9317000
40.6649600,-73.8222600
40.7045300,-73.8172450
40.6804470,-73.8712800
40.6804470,-73.9504600
40.7270900,-73.9915540
40.8232500,-73.8827700
40.6924500,-73.8110050
40.7140600,-73.9529200
40.6315270,-73.9480440
40.7573360,-73.9897300
40.7526440,-74.0042800
40.8636900,-73.9170700
40.5975800,-73.9959400
40.7990900,-73.9347800
40.6507200,-74.0030300
40.6032030,-73.9375840
40.6697350,-73.9310400
40.6383100,-73.9534760
40.7078500,-73.8972500
40.6913260,-73.9564600
40.7892530,-73.8518200
40.7982520,-73.9524900
40.7546200,-73.8216700
40.6744540,-73.8026050
40.6992400,-73.8063200
,
40.6711600,-73.9170000
,
40.6941070,-73.8973700
40.8559720,-73.8698960
40.6913720,-73.8098900
40.6707000,-73.7736600
40.8067970,-73.9245800
40.6414150,-73.9312200
40.7092250,-73.8431550
40.6234930,-73.9977800
40.8441430,-73.8892100
40.6247020,-73.9177600
,
40.7353100,-73.9188900
40.6666950,-73.7671360
40.6810800,-73.8404800
40.7243080,-73.7247400
40.8481180,-73.9308900
40.7933770,-73.9708600
40.6439930,-73.9440100
40.7118450,-73.8597640
40.6776280,-73.8943940
40.6343800,-73.9657400
40.6771930,-74.0065000
,
40.7493500,-73.8580700
40.6195700,-73.9335500
40.6725900,-73.9515200
40.7878840,-73.8410300
40.6854100,-73.9265800
40.7115970,-73.8581900
40.8077700,-73.9454900
40.5953750,-73.9862800
40.7338030,-73.8906300
40.8501800,-73.9105900
40.7063560,-73.9002760
,
40.8843960,-73.8799800
40.6958580,-73.8189100
40.6811260,-73.9644600
40.6362650,-73.9480200
,
,
40.5438700,-74.1444500
40.6212160,-73.9353900
40.5413250,-74.2098400
40.8127250,-73.9493100
40.8150020,-73.8832300
40.6374470,-74.0199700
40.7533700,-73.9746550
40.7378100,-73.9292450
40.6649600,-73.8222600
40.6764950,-73.9137040
40.8326230,-73.9253700
40.8892000,-73.8422300
40.8527870,-73.8966300
